Team,odds_in_favor,odds_against,probability
Belgium,7.8,"8",12.820512820512823
Croatia,10.5,"11",9.523809523809524
England,11,"11.5",9.090909090909092
France,5.4,"5.5",18.51851851851852
Germany,6.2,"6.4",16.129032258064516
Hungary,120,"130",0.8333333333333334
Iceland,180,"190",0.5555555555555556
Italy,19,"19.5",5.263157894736842
Northern Ireland,320,"330",0.3125
Poland,29,"30",3.4482758620689653
Portugal,17,"17.5",5.88235294117647
Rep Of Ireland,180,"190",0.5555555555555556
Slovakia,250,"260",0.4
Spain,7.2,"7.4",13.88888888888889
Switzerland,55,"60",1.8181818181818181
Wales,30,32,3.3333333333333335
